Pressure,Property,Liq_Sat,Vap_Sat,75,100,125,150,175,200,220,225,240,250,260,275,280,290,300,320,325,340,350,360,375,380,400,425,450,475,500,525,550,575,600,625,650
1,V,1,129200,160640,172180,183720,195270,206810,218350,,229890,,241430,,,,,264500,,,,287580,,,,310660,,333730,,356810,,379880,,402960,,426040
1,U,29.334,2385.2,2480.8,2516.4,2552.3,2588.5,2624.9,2661.7,,2698.8,,2736.3,,,,,2812.3,,,,2889.9,,,,2969.1,,3049.9,,3132.4,,3216.7,,3302.6,,3390.3
1,H,29.335,2514.4,2641.5,2688.6,2736,2783.7,2831.7,2880.1,,2928.7,,2977.7,,,,,3076.8,,,,3177.5,,,,3279.7,,3383.6,,3489.2,,3596.5,,3705.6,,3816.4
1,S,0.106,8.9767,9.3828,9.5136,9.6365,9.7527,9.8629,9.9679,,10.0681,,10.1641,,,,,10.345,,,,10.5133,,,,10.6711,,10.82,,10.9612,,11.0957,,11.2243,,11.3476
10,V,1.01,14670,16030,17190,18350,19510,20660,21820,,22980,,24130,,,,,26440,,,,28750,,,,31060,,33370,,35670,,37980,,40290,,42600
10,U,191.822,2438,2479.7,2515.6,2551.6,2588,2624.5,2661.4,,2698.6,,2736.1,,,,,2812.2,,,,2889.8,,,,2969,,3049.8,,3132.3,,3216.6,,3302.6,,3390.3
10,H,191.832,2584.8,2640,2687.5,2735.2,2783.1,2831.2,2879.6,,2928.4,,2977.4,,,,,3076.6,,,,3177.3,,,,3279.6,,3383.5,,3489.1,,3596.5,,3705.5,,3816.3
10,S,0.6493,8.1511,8.3168,8.4486,8.5722,8.6888,8.7994,8.9045,,9.0049,,9.101,,,,,9.282,,,,9.4504,,,,9.6083,,9.7572,,9.8984,,10.0329,,10.1616,,10.2849
20,V,1.017,7649.8,8000,8584.7,9167.1,9748,10320,10900,,11480,,12060,,,,,13210,,,,14370,,,,15520,,16680,,17830,,18990,,20140,,21300
20,U,251.432,2456.9,2478.4,2514.6,2550.9,2587.4,2624.1,2661,,2698.3,,2735.8,,,,,2812,,,,2889.6,,,,2968.9,,3049.7,,3132.3,,3216.5,,3302.5,,3390.2
20,H,251.453,2609.9,2638.4,2686.3,2734.2,2782.3,2830.6,2879.2,,2928,,2977.1,,,,,3076.4,,,,3177.1,,,,3279.4,,3383.4,,3489,,3596.4,,3705.4,,3816.2
20,S,0.8321,7.9094,7.9933,8.1261,8.2504,8.3676,8.4785,8.5839,,8.6844,,8.7806,,,,,8.9618,,,,9.1303,,,,9.2882,,9.4372,,9.5784,,9.713,,9.8416,,9.965
30,V,1.022,5229.3,5322,5714.4,6104.6,6493.2,6880.8,7267.5,,7653.8,,8039.7,,,,,8810.8,,,,9581.2,,,,10350,,11120,,11890,,12660,,13430,,14190
30,U,289.271,2468.6,2477.1,2513.6,2550.2,2586.8,2623.6,2660.7,,2698,,2735.6,,,,,2811.8,,,,2889.5,,,,2968.7,,3049.6,,3132.2,,3216.5,,3302.5,,3390.2
30,H,289.302,2625.4,2636.8,2685.1,2733.3,2781.6,2830,2878.7,,2927.6,,2976.8,,,,,3076.1,,,,3176.9,,,,3279.3,,3383.3,,3488.9,,3596.3,,3705.4,,3816.2
30,S,0.9441,7.7695,7.8024,7.9363,8.0614,8.1791,8.2903,8.396,,8.4967,,8.593,,,,,8.7744,,,,8.943,,,,9.101,,9.2499,,9.3912,,9.5257,,9.6544,,9.7778
40,V,1.027,3993.4,,4279.2,4573.3,4865.8,5157.2,5447.8,,5738,,6027.7,,,,,6606.5,,,,7184.6,,,,7762.5,,8340.1,,8917.6,,9494.9,,10070,,10640
40,U,317.609,2477.1,,2512.6,2549.4,2586.2,2623.2,2660.3,,2697.7,,2735.4,,,,,2811.6,,,,2889.4,,,,2968.6,,3049.5,,3132.1,,3216.4,,3302.4,,3390.1
40,H,317.65,2636.9,,2683.8,2732.3,2780.9,2829.5,2878.2,,2927.2,,2976.5,,,,,3075.9,,,,3176.8,,,,3279.1,,3383.1,,3488.8,,3596.2,,3705.3,,3816.1
40,S,1.0261,7.6709,,7.8009,7.9268,8.045,8.1566,8.2624,,8.3633,,8.4598,,,,,8.6413,,,,8.81,,,,8.968,,9.117,,9.2583,,9.3929,,9.5216,,9.645
50,V,1.03,3240.2,,3418.1,3654.5,3889.3,4123,4356,,4588.5,,4820.5,,,,,5283.9,,,,5746.7,,,,6209.1,,6671.4,,7133.5,,7595.5,,8057.4,,8519.2
50,U,340.513,2484,,2511.7,2548.6,2585.6,2622.7,2659.9,,2697.4,,2735.1,,,,,2811.5,,,,2889.2,,,,2968.5,,3049.4,,3132,,3216.3,,3302.3,,3390.1
50,H,340.564,2646,,2682.6,2731.4,2780.1,2828.9,2877.7,,2926.8,,2976.1,,,,,3075.7,,,,3176.6,,,,3279,,3383,,3488.7,,3596.1,,3705.2,,3816
50,S,1.0912,7.5947,,7.6953,7.8219,7.9406,8.0526,8.1587,,8.2598,,8.3564,,,,,8.538,,,,8.7068,,,,8.8649,,9.0139,,9.1552,,9.2898,,9.4185,,9.5419
75,V,1.037,2216.9,,2269.8,2429.4,2587.3,2744.2,2900.2,,3055.8,,3210.9,,,,,3520.5,,,,3829.4,,,,4138,,4446.4,,4754.7,,5062.8,,5370.9,,5678.9
75,U,384.374,2496.7,,2509.2,2546.7,2584.2,2621.6,2659,,2696.7,,2734.5,,,,,2811,,,,2888.9,,,,2968.2,,3049.2,,3131.8,,3216.1,,3302.2,,3389.9
75,H,384.451,2663,,2679.4,2728.9,2778.2,2827.4,2876.6,,2925.8,,2975.3,,,,,3075.1,,,,3176.1,,,,3278.6,,3382.7,,3488.4,,3595.8,,3705,,3815.9
75,S,1.2131,7.457,,7.5014,7.63,7.75,7.8629,7.9697,,8.0712,,8.1681,,,,,8.3502,,,,8.5191,,,,8.6773,,8.8265,,8.9678,,9.1025,,9.2312,,9.3546
100,V,1.043,1693.7,,1695.5,1816.7,1936.3,2054.7,2172.3,,2289.4,,2406.1,,,,,2638.7,,,,2870.8,,,,3102.5,,3334,,3565.3,,3796.5,,4027.7,,4258.8
100,U,417.406,2506.1,,2506.6,2544.8,2582.7,2620.4,2658.1,,2695.9,,2733.9,,,,,2810.6,,,,2888.6,,,,2968,,3049,,3131.6,,3216,,3302,,3389.8
100,H,417.511,2675.4,,2676.2,2726.5,2776.3,2825.9,2875.4,,2924.9,,2974.5,,,,,3074.5,,,,3175.6,,,,3278.2,,3382.4,,3488.1,,3595.6,,3704.8,,3815.7
100,S,1.3027,7.3598,,7.3618,7.4923,7.6137,7.7275,7.8349,,7.9369,,8.0342,,,,,8.2166,,,,8.3858,,,,8.5442,,8.6934,,8.8348,,8.9695,,9.0982,,9.2217
101.325,V,1.044,1673,,1673,1792.7,1910.7,2027.7,2143.8,,2259.3,,2374.5,,,,,2604.2,,,,2833.2,,,,3061.9,,3290.3,,3518.7,,3746.9,,3975,,4203.1
